iter	Passed	Remaining
1138	83595	283372
1139	83693	283382
1140	83869	283658
1141	83961	283645
1142	84030	283557
1143	84101	283473
1144	84172	283392
1145	84241	283305
1146	84307	283204
1147	84373	283106
1148	84437	283002
1149	84540	283028
1150	84626	282995
1151	84697	282912
1152	84764	282818
1153	84836	282739
1154	84901	282639
1155	84969	282546
1156	85036	282450
1157	85106	282366
1158	85189	282322
1159	85265	282258
1160	85337	282180
1161	85416	282124
1162	85491	282054
1163	85551	281938
1164	85619	281844
1165	85709	281827
1166	85805	281828
1167	85891	281793
1168	85953	281682
1169	86013	281565
1170	86074	281449
1171	86131	281324
1172	86192	281208
1173	86252	281091
1174	86310	280966
1175	86371	280855
1176	86436	280753
1177	86496	280637
1178	86559	280528
1179	86621	280418
1180	86685	280315
1181	86746	280202
1182	86809	280092
1183	86873	279991
1184	86936	279882
1185	87000	279779
1186	87063	279675
1187	87129	279575
1188	87189	279461
1189	87246	279335
1190	87306	279219
1191	87369	279112
1192	87425	278985
1193	87485	278868
1194	87542	278744
1195	87604	278636
1196	87664	278518
1197	87721	278393
1198	87780	278276
1199	87839	278158
1200	87899	278044
1201	87961	277935
1202	88020	277816
1203	88081	277704
1204	88141	277590
1205	88203	277483
1206	88264	277369
1207	88325	277261
1208	88385	277145
1209	88447	277038
1210	88522	276971
1211	88601	276917
1212	88670	276830
1213	88734	276728
1214	88825	276711
1215	88892	276619
1216	88951	276502
1217	89010	276387
1218	89073	276282
1219	89134	276170
1220	89199	276071
1221	89261	275964
1222	89323	275859
1223	89386	275753
1224	89445	275638
1225	89504	275522
1226	89576	275444
1227	89643	275353
1228	89708	275256
1229	89771	275152
1230	89834	275048
1231	89896	274941
1232	89959	274840
1233	90023	274739
1234	90085	274634
1235	90151	274537
1236	90218	274447
1237	90278	274335
1238	90339	274227
1239	90401	274120
1240	90461	274009
1241	90525	273907
1242	90582	273788
1243	90644	273681
1244	90704	273571
1245	90763	273456
1246	90825	273349
1247	90893	273264
1248	90952	273147
1249	91014	273042
1250	91077	272941
1251	91136	272827
1252	91195	272713
1253	91257	272609
1254	91319	272502
1255	91379	272391
1256	91442	272289
1257	91508	272196
1258	91569	272089
1259	91629	271979
1260	91689	271868
1261	91748	271756
1262	91814	271664
1263	91877	271561
1264	91941	271462
1265	92002	271355
1266	92061	271244
1267	92125	271144
1268	92185	271034
1269	92245	270926
1270	92312	270836
1271	92373	270731
1272	92432	270618
1273	92492	270507
1274	92556	270409
1275	92621	270316
1276	92680	270202
1277	92741	270096
1278	92800	269985
1279	92860	269877
1280	92922	269774
1281	92982	269662
1282	93046	269567
1283	93107	269460
1284	93167	269353
1285	93226	269241
1286	93287	269133
1287	93347	269024
1288	93406	268915
1289	93466	268806
1290	93527	268701
1291	93586	268589
1292	93647	268484
1293	93712	268391
1294	93772	268282
1295	93832	268176
1296	93891	268065
1297	93951	267957
1298	94011	267848
1299	94071	267742
1300	94133	267639
1301	94197	267543
1302	94258	267438
1303	94319	267335
1304	94380	267231
1305	94442	267127
1306	94501	267018
1307	94565	266922
1308	94630	266830
1309	94692	266728
1310	94754	266629
1311	94814	266521
1312	94875	266416
1313	94942	266331
1314	95001	266220
1315	95063	266121
1316	95123	266013
1317	95183	265907
1318	95243	265800
1319	95304	265698
1320	95365	265593
1321	95426	265491
1322	95490	265395
1323	95550	265289
1324	95610	265183
1325	95674	265090
1326	95737	264990
1327	95805	264906
1328	95868	264809
1329	95928	264706
1330	95990	264604
1331	96052	264505
1332	96114	264405
1333	96182	264322
1334	96246	264226
1335	96308	264127
1336	96368	264021
1337	96428	263917
1338	96492	263824
1339	96555	263727
1340	96615	263621
1341	96675	263516
1342	96737	263417
1343	96795	263307
1344	96856	263204
1345	96920	263110
1346	96979	263003
1347	97039	262900
1348	97103	262806
1349	97165	262705
1350	97227	262608
1351	97291	262513
1352	97352	262413
1353	97415	262317
1354	97474	262210
1355	97534	262106
1356	97597	262010
1357	97657	261905
1358	97854	262169
1359	97927	262100
1360	97987	261996
1361	98047	261892
1362	98108	261791
1363	98173	261698
1364	98230	261587
1365	98294	261495
1366	98355	261392
1367	98414	261288
1368	98472	261177
1369	98623	261315
1370	98682	261209
1371	98742	261105
1372	98804	261007
1373	98864	260903
1374	98924	260800
1375	98982	260693
1376	99045	260595
1377	99112	260511
1378	99176	260418
1379	99237	260318
1380	99299	260219
1381	99359	260118
1382	99419	260014
1383	99477	259906
1384	99543	259819
1385	99610	259735
1386	99677	259651
1387	99744	259564
1388	99804	259464
1389	99868	259371
1390	99931	259275
1391	100140	259558
1392	100249	259582
1393	100340	259560
1394	100450	259586
1395	100565	259626
1396	100633	259542
1397	100697	259450
1398	100762	259359
1399	100824	259263
1400	100884	259159
1401	100946	259062
1402	101008	258965
1403	101072	258872
1404	101150	258814
1405	101275	258880
1406	101368	258860
1407	101456	258828
1408	101515	258725
1409	101581	258635
1410	101643	258537
1411	101709	258451
1412	101775	258363
1413	101836	258263
1414	101899	258168
1415	101962	258073
1416	102021	257970
1417	102087	257881
1418	102146	257777
1419	102204	257670
1420	102269	257582
1421	102333	257489
1422	102396	257393
1423	102458	257296
1424	102519	257197
1425	102579	257095
1426	102643	257004
1427	102702	256900
1428	102763	256801
1429	102823	256700
1430	102885	256601
1431	102948	256507
1432	103006	256402
1433	103069	256308
1434	103129	256205
1435	103189	256105
1436	103250	256007
1437	103312	255909
1438	103376	255818
1439	103437	255719
1440	103496	255617
1441	103556	255514
1442	103614	255411
1443	103675	255311
1444	103739	255221
1445	103801	255124
1446	103870	255045
1447	103936	254960
1448	104004	254878
1449	104068	254787
1450	104130	254691
1451	104196	254606
1452	104258	254512
1453	104316	254405
1454	104382	254319
1455	104448	254234
1456	104510	254138
1457	104570	254038
1458	104629	253935
1459	104688	253833
1460	104750	253739
1461	104812	253644
1462	104877	253556
1463	104939	253460
1464	104999	253360
1465	105060	253263
1466	105122	253168
1467	105182	253068
1468	105241	252965
1469	105302	252869
1470	105363	252771
1471	105424	252675
1472	105483	252573
1473	105543	252472
1474	105608	252386
1475	105671	252293
1476	105734	252201
1477	105798	252113
1478	105858	252014
1479	105920	251919
1480	105981	251823
1481	106042	251726
1482	106104	251632
1483	106167	251539
1484	106229	251445
1485	106292	251354
1486	106352	251255
1487	106432	251203
1488	106537	251210
1489	106595	251108
1490	106655	251007
1491	106716	250912
1492	106777	250816
1493	106839	250722
1494	106906	250641
1495	106970	250551
1496	107032	250457
1497	107091	250355
1498	107152	250260
1499	107211	250160
1500	107271	250062
1501	107334	249970
1502	107395	249874
1503	107456	249779
1504	107518	249686
1505	107581	249595
1506	107647	249510
1507	107708	249415
1508	107768	249317
1509	107831	249227
1510	107894	249134
1511	107958	249046
1512	108023	248961
1513	108085	248868
1514	108152	248786
1515	108214	248692
1516	108273	248592
1517	108337	248504
1518	108400	248415
1519	108467	248333
1520	108534	248251
1521	108595	248156
1522	108659	248068
1523	108725	247985
1524	108784	247886
1525	108846	247794
1526	108906	247696
1527	108972	247613
1528	109033	247519
1529	109095	247425
1530	109156	247330
1531	109220	247244
1532	109284	247155
1533	109348	247067
1534	109410	246975
1535	109472	246883
1536	109534	246791
1537	109598	246703
1538	109663	246618
1539	109809	246714
1540	109870	246619
1541	109931	246525
1542	109995	246437
1543	110057	246345
1544	110115	246246
1545	110174	246146
1546	110232	246045
1547	110293	245950
1548	110353	245854
1549	110418	245769
1550	110490	245699
1551	110680	245892
1552	110754	245827
1553	110834	245775
1554	110913	245722
1555	110982	245644
1556	111043	245551
1557	111105	245458
1558	111174	245382
1559	111241	245301
1560	111302	245207
1561	111364	245115
1562	111425	245021
1563	111491	244938
1564	111551	244843
1565	111610	244745
1566	111670	244649
1567	111729	244550
1568	111788	244453
1569	111852	244366
1570	111910	244265
1571	111972	244173
1572	112036	244087
1573	112103	244007
1574	112165	243916
1575	112225	243820
1576	112291	243736
1577	112353	243645
1578	112412	243549
1579	112472	243453
1580	112536	243367
1581	112599	243276
1582	112660	243184
1583	112721	243091
1584	112780	242994
1585	112840	242898
1586	112899	242801
1587	112963	242715
1588	113028	242630
1589	113103	242567
1590	113168	242483
1591	113232	242396
1592	113292	242302
1593	113349	242201
1594	113413	242113
1595	113477	242027
1596	113548	241956
1597	113620	241887
1598	113691	241817
1599	113764	241749
1600	113833	241674
1601	113904	241603
1602	113972	241524
1603	114037	241441
1604	114107	241367
1605	114173	241285
1606	114243	241212
1607	114318	241150
1608	114389	241078
1609	114454	240994
1610	114516	240904
1611	114582	240821
1612	114649	240742
1613	114716	240662
1614	114780	240576
1615	114841	240484
1616	114903	240394
1617	114963	240300
1618	115022	240205
1619	115085	240116
1620	115145	240022
1621	115209	239937
1622	115269	239843
1623	115327	239745
1624	115389	239655
1625	115460	239584
1626	115531	239513
1627	115607	239452
1628	115675	239375
1629	115748	239309
1630	115817	239234
1631	115876	239137
1632	115938	239048
1633	116001	238960
1634	116064	238872
1635	116135	238801
1636	116199	238717
1637	116263	238630
1638	116325	238542
1639	116385	238448
1640	116449	238363
1641	116512	238276
1642	116573	238184
1643	116643	238112
1644	116707	238027
1645	116768	237936
1646	116830	237845
1647	116897	237766
1648	116956	237672
1649	117016	237578
1650	117073	237480
1651	117134	237388
1652	117193	237293
1653	117259	237213
1654	117323	237128
1655	117381	237031
1656	117449	236953
1657	117509	236862
1658	117569	236769
1659	117636	236690
1660	117702	236608
1661	117762	236517
