iter	TotalF1	MultiClass
417	0.9180792606	0.267136055
418	0.9180762731	0.2669224209
419	0.9182799315	0.2667323112
420	0.9184891566	0.2664491541
421	0.9188016207	0.2660981061
422	0.9189079844	0.2659016762
423	0.9185996454	0.2656011484
424	0.9188068188	0.2653251323
425	0.9193288423	0.264947506
426	0.9194312687	0.2648182796
427	0.9193277029	0.2644896868
428	0.9193228227	0.2643586282
429	0.9193228227	0.2642208104
430	0.9192204124	0.2641158249
431	0.9194271641	0.2637509975
432	0.9197417561	0.2635085137
433	0.9201575892	0.2633759121
434	0.9199477565	0.2631344512
435	0.9195323391	0.2629972041
436	0.9197376942	0.2626151209
437	0.9200497411	0.2623703733
438	0.9199442687	0.2622563163
439	0.9201513287	0.2621453074
440	0.9203628584	0.2617591409
441	0.9207700673	0.2613946073
442	0.9204547649	0.2612003499
443	0.9203516263	0.2610683649
444	0.9200437868	0.2607883299
445	0.920140755	0.2605359647
446	0.9200357254	0.2603800868
447	0.9200337385	0.2602677984
448	0.9200339689	0.2599585662
449	0.9196223197	0.2596603703
450	0.9197266112	0.2595048963
451	0.919726664	0.2593295708
452	0.9203441725	0.2590214915
453	0.9200349574	0.2588350734
454	0.9199312303	0.2586280953
455	0.9202435402	0.258379211
456	0.9199373083	0.2581445855
457	0.9200389769	0.2580330657
458	0.9201424295	0.2579568152
459	0.9202542342	0.257797161
460	0.9201453741	0.2576366582
461	0.9202487288	0.2574919999
462	0.9204542975	0.2572119856
463	0.9204604646	0.2569048234
464	0.9207730395	0.2567584682
465	0.9206665972	0.2565622817
466	0.9207708182	0.2564472445
467	0.9210841869	0.2561027373
468	0.9210885168	0.255803403
469	0.9207714745	0.2555236203
470	0.9208782076	0.2552587454
471	0.9217218287	0.2549731679
472	0.9216184255	0.254779274
473	0.921830267	0.2544711698
474	0.9219314246	0.2543487193
475	0.9221416503	0.2541408972
476	0.9221384624	0.2538272893
477	0.9219282438	0.2535773875
478	0.9219282438	0.2533058179
479	0.9218216218	0.2530129358
480	0.9218216218	0.2529102317
481	0.9219259211	0.2528099173
482	0.9219261778	0.252620407
483	0.9219234548	0.2524501204
